,Coherence Score
0,0.3880180073088876
1,0.6377673642470116
2,0.3842251493625942
3,0.41469046863430287
4,0.39762241000064424
5,0.36495469957927706
6,0.7096780575482476
7,0.2768411545271338
8,0.4143206749289522
9,0.3680479106717186
10,0.39879417700681663
11,0.36249894137436856
12,0.2548414624833289
13,0.305721868159559
14,0.39424988114723725
15,0.2703499172133756
16,0.4345664139837414
17,0.18922472141830068
18,0.4111276609913911
19,0.32701670042134934
20,0.34364655486244533
21,0.3505033337567327
22,0.22410173539676465
23,0.4153462960459368
24,0.2709723549928317
25,0.3028784193178204
26,0.37730684914475476
27,0.043170079151246224
28,0.3841214262155591
29,0.3312666807232736
30,0.3320868812588844
31,0.3424009559966751
32,0.27830821470819744
33,0.37349590903116314
34,0.45491556327939425
35,0.38797987929788236
36,0.3517282434318635
37,0.2692528620276572
38,0.23524842346168193
39,0.24666634858633973
40,0.22858542970117793
41,0.3182362585859243
42,0.2712922718921861
43,0.3663105898521333
44,0.37858800334063697
45,0.34855849400343425
46,0.2926984005695419
47,0.2356328735036326
48,0.2991994374261386
49,0.7145815645125675
50,0.45005811584344824
51,0.2510660838411751
52,0.2949839603435092
53,0.3025756824661513
54,0.1337872526227988
55,0.28439269824914104
56,0.7002394101805068
57,0.29028288976479943
58,0.3563423359161225
59,0.3155124214446671
60,0.3007469326082906
61,0.4176048562792596
62,0.28622439578322173
63,0.31307455593161154
64,0.0962483821364912
65,0.39993860343091764
66,0.263045304480756
67,0.32558046546332187
68,0.5652238368220561
69,0.2334109982102821
70,0.23178612507101204
71,0.36977641868057026
72,0.28947042387608557
73,0.34448193843995795
74,0.46854363062689375
75,0.38694822406332857
76,0.4879121277520013
77,0.3384668037889976
78,0.2417808580741906
79,0.19777794484312347
